userId,coherence,total_ratings,max_total_ratings,min_total_ratings,max_coherence,min_coherence,user_group
1,-75.24690331388544,229,2698,17,-0.0,-283.66933299507997,LEUG
2,-17.621221870241122,29,2698,17,-0.0,-283.66933299507997,LEUG
3,-34.67740123475828,39,2698,17,-0.0,-283.66933299507997,LEUG
4,-80.62857946263398,187,2698,17,-0.0,-283.66933299507997,LEUG
5,-38.74067237503742,44,2698,17,-0.0,-283.66933299507997,LEUG
6,-86.50923310947952,314,2698,17,-0.0,-283.66933299507997,LEUG
7,-105.67904351924221,152,2698,17,-0.0,-283.66933299507997,LEUG
8,-35.69029668782581,47,2698,17,-0.0,-283.66933299507997,LEUG
9,-33.24060742755554,46,2698,17,-0.0,-283.66933299507997,LEUG
10,-78.04748932979268,140,2698,17,-0.0,-283.66933299507997,LEUG
11,-35.300822147622405,64,2698,17,-0.0,-283.66933299507997,LEUG
12,-13.87299335050324,32,2698,17,-0.0,-283.66933299507997,LEUG
13,-19.576305552971167,31,2698,17,-0.0,-283.66933299507997,LEUG
14,-27.677553414837615,48,2698,17,-0.0,-283.66933299507997,LEUG
15,-79.65001512279774,135,2698,17,-0.0,-283.66933299507997,LEUG
16,-31.549404716180735,98,2698,17,-0.0,-283.66933299507997,LEUG
17,-31.540344660810682,105,2698,17,-0.0,-283.66933299507997,LEUG
18,-85.65217151166001,502,2698,17,-0.0,-283.66933299507997,LEUG
19,-151.43968214587235,703,2698,17,-0.0,-283.66933299507997,LDUG
20,-104.52897929430794,241,2698,17,-0.0,-283.66933299507997,LEUG
21,-127.20357707684984,443,2698,17,-0.0,-283.66933299507997,LEUG
22,-101.89773244480295,119,2698,17,-0.0,-283.66933299507997,LEUG
23,-36.783749267362325,121,2698,17,-0.0,-283.66933299507997,LEUG
24,-31.83867747340696,110,2698,17,-0.0,-283.66933299507997,LEUG
25,-7.7477086198452145,26,2698,17,-0.0,-283.66933299507997,LEUG
26,-9.018015653186723,21,2698,17,-0.0,-283.66933299507997,LEUG
27,-62.452632860325444,127,2698,17,-0.0,-283.66933299507997,LEUG
28,-113.69640412321135,570,2698,17,-0.0,-283.66933299507997,LEUG
29,-36.52320909365098,81,2698,17,-0.0,-283.66933299507997,LEUG
30,-14.051349407813127,34,2698,17,-0.0,-283.66933299507997,LEUG
31,-37.08973845422198,49,2698,17,-0.0,-283.66933299507997,LEUG
32,-48.495395846575136,102,2698,17,-0.0,-283.66933299507997,LEUG
33,-56.90630515585036,149,2698,17,-0.0,-283.66933299507997,LEUG
34,-66.56585764935207,81,2698,17,-0.0,-283.66933299507997,LEUG
35,-19.157885334353832,23,2698,17,-0.0,-283.66933299507997,LEUG
36,-35.69215238567749,60,2698,17,-0.0,-283.66933299507997,LEUG
37,-20.861586825883553,21,2698,17,-0.0,-283.66933299507997,LEUG
38,-50.75762968211415,78,2698,17,-0.0,-283.66933299507997,LEUG
39,-51.72852338745357,94,2698,17,-0.0,-283.66933299507997,LEUG
40,-54.35885226481508,103,2698,17,-0.0,-283.66933299507997,LEUG
41,-98.25036995036214,217,2698,17,-0.0,-283.66933299507997,LEUG
42,-116.22305821320374,436,2698,17,-0.0,-283.66933299507997,LEUG
43,-36.87056509917727,114,2698,17,-0.0,-283.66933299507997,LEUG
44,-41.70207758711277,48,2698,17,-0.0,-283.66933299507997,LEUG
45,-108.03126274424719,399,2698,17,-0.0,-283.66933299507997,LEUG
46,-28.088519801847774,42,2698,17,-0.0,-283.66933299507997,LEUG
47,-52.00168656819558,140,2698,17,-0.0,-283.66933299507997,LEUG
48,-17.197172945585336,32,2698,17,-0.0,-283.66933299507997,LEUG
49,-5.500106880777449,21,2698,17,-0.0,-283.66933299507997,LEUG
50,-91.98046599911073,310,2698,17,-0.0,-283.66933299507997,LEUG
51,-143.36705843564823,353,2698,17,-0.0,-283.66933299507997,LDUG
52,-47.85585398946188,130,2698,17,-0.0,-283.66933299507997,LEUG
53,-0.0,20,2698,17,-0.0,-283.66933299507997,LEUG
54,-9.68567286476887,33,2698,17,-0.0,-283.66933299507997,LEUG
55,-36.13058657077667,25,2698,17,-0.0,-283.66933299507997,LEUG
56,-24.98296034070139,46,2698,17,-0.0,-283.66933299507997,LEUG
57,-143.46356162275057,469,2698,17,-0.0,-283.66933299507997,LDUG
58,-56.75736612499632,112,2698,17,-0.0,-283.66933299507997,LEUG
59,-43.29701218948747,103,2698,17,-0.0,-283.66933299507997,LEUG
60,-14.930356576713757,22,2698,17,-0.0,-283.66933299507997,LEUG
61,-21.275605466140085,39,2698,17,-0.0,-283.66933299507997,LEUG
62,-90.58972586547365,364,2698,17,-0.0,-283.66933299507997,LEUG
63,-100.80929186925927,263,2698,17,-0.0,-283.66933299507997,LEUG
64,-95.10017627783162,514,2698,17,-0.0,-283.66933299507997,LEUG
65,-16.936336476190313,34,2698,17,-0.0,-283.66933299507997,LEUG
66,-73.33881710806514,344,2698,17,-0.0,-283.66933299507997,LEUG
