,itemId,userId,user_cat,rating,timestamp,rating_group,item_cat,noise
187,1,578,Average,4.5,1/20/2009,Su,Strongly-preferred,0
49782,2,578,Average,1.5,5/13/2008,Wu,Averagely-preferred,0
87480,5,578,Average,5,5/13/2008,Su,Averagely-preferred,0
246588,19,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
366297,32,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
411303,34,578,Average,3,5/13/2008,Au,Strongly-preferred,0
466474,39,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
503253,44,578,Average,3,5/12/2008,Au,Averagely-preferred,0
526222,47,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
569349,48,578,Average,3,5/13/2008,Au,Averagely-preferred,0
663891,62,578,Average,2.5,5/13/2008,Au,Strongly-preferred,0
700605,70,578,Average,4.5,1/14/2009,Su,Averagely-preferred,0
764954,95,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
801838,104,578,Average,4,5/13/2008,Su,Variably-preferred,0
836161,110,578,Average,3.5,5/12/2008,Au,Strongly-preferred,0
889822,111,578,Average,3.5,5/29/2008,Au,Strongly-preferred,0
958151,141,578,Average,3.5,5/13/2008,Au,Variably-preferred,0
1002961,150,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
1063948,153,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
1105290,158,578,Average,2.5,5/26/2008,Au,Averagely-preferred,0
1183698,165,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
1284040,180,578,Average,4,6/9/2008,Su,Strongly-preferred,0
1321376,186,578,Average,3.5,5/12/2008,Au,Averagely-preferred,0
1402832,208,578,Average,4,9/15/2008,Su,Averagely-preferred,0
1461698,223,578,Average,4,5/26/2008,Su,Strongly-preferred,0
1521540,231,578,Average,3.5,5/29/2008,Au,Averagely-preferred,0
1646605,253,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
1747720,261,578,Average,3.5,5/12/2008,Au,Strongly-preferred,0
1842480,282,578,Average,2.5,5/26/2008,Au,Averagely-preferred,0
1886083,292,578,Average,4,5/13/2008,Su,Averagely-preferred,0
1912307,293,578,Average,3.5,5/14/2008,Au,Strongly-preferred,0
2113056,317,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
2129413,318,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
2216476,329,578,Average,4.5,12/5/2008,Su,Averagely-preferred,0
2260314,337,578,Average,4,5/13/2008,Su,Strongly-preferred,0
2320637,344,578,Average,3.5,6/5/2008,Au,Averagely-preferred,0
2458118,356,578,Average,4,5/12/2008,Su,Strongly-preferred,0
2524122,357,578,Average,3,5/13/2008,Au,Strongly-preferred,0
2569779,364,578,Average,4,5/13/2008,Su,Strongly-preferred,0
2613216,367,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
2712435,377,578,Average,4.5,5/13/2008,Su,Variably-preferred,0
2761822,380,578,Average,4.5,5/13/2008,Su,Variably-preferred,0
2833534,410,578,Average,3,5/29/2008,Au,Averagely-preferred,0
2921596,432,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
2960604,435,578,Average,2.5,5/13/2008,Au,Averagely-preferred,0
3006048,442,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
3205730,480,578,Average,4.5,6/29/2008,Su,Strongly-preferred,0
3336785,500,578,Average,5,5/13/2008,Su,Averagely-preferred,0
3383809,508,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
3452957,520,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
3471741,524,578,Average,3,6/9/2008,Au,Variably-preferred,0
3646418,543,578,Average,2.5,5/12/2008,Au,Averagely-preferred,0
3675046,551,578,Average,2,5/13/2008,Au,Strongly-preferred,0
3695518,552,578,Average,4,5/12/2008,Su,Averagely-preferred,0
3760680,585,578,Average,2.5,11/6/2008,Au,Averagely-preferred,0
3770462,586,578,Average,3,5/13/2008,Au,Averagely-preferred,0
3828347,588,578,Average,3.5,5/29/2008,Au,Strongly-preferred,0
3870231,589,578,Average,5,2/16/2009,Su,Strongly-preferred,0
3966684,592,578,Average,4,5/13/2008,Su,Averagely-preferred,0
4012799,593,578,Average,5,5/13/2008,Su,Strongly-preferred,0
4093758,595,578,Average,4,5/13/2008,Su,Strongly-preferred,0
4141687,597,578,Average,2.5,11/6/2008,Au,Averagely-preferred,0
4185230,608,578,Average,4,5/12/2008,Su,Strongly-preferred,0
4292502,648,578,Average,3,5/13/2008,Au,Averagely-preferred,0
4331173,653,578,Average,3.5,5/13/2008,Au,Averagely-preferred,0
4406842,706,578,Average,3.5,8/12/2008,Au,Averagely-preferred,0
4411779,708,578,Average,5,5/13/2008,Su,Averagely-preferred,0
4454751,724,578,Average,3,6/29/2008,Au,Averagely-preferred,0
4502849,736,578,Average,4,5/13/2008,Su,Averagely-preferred,0
4621223,778,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
4645420,780,578,Average,4.5,5/13/2008,Su,Averagely-preferred,0
4707460,784,578,Average,1,5/13/2008,Wu,Averagely-preferred,0
4721828,785,578,Average,3,6/9/2008,Au,Averagely-preferred,0
4748835,788,578,Average,4,5/13/2008,Su,Averagely-preferred,0
4786433,802,578,Average,3,6/1/2008,Au,Variably-preferred,0
5136150,919,578,Average,2.5,5/29/2008,Au,Strongly-preferred,0
5405864,1020,578,Average,5,11/28/2008,Su,Averagely-preferred,0
5500450,1036,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
5612230,1073,578,Average,3,5/13/2008,Au,Strongly-preferred,0
5775316,1092,578,Average,3,6/9/2008,Au,Averagely-preferred,0
5994779,1148,578,Average,4,5/13/2008,Su,Strongly-preferred,0
6098620,1193,578,Average,4,5/13/2008,Su,Strongly-preferred,0
6176473,1197,578,Average,4,5/13/2008,Su,Strongly-preferred,0
6209100,1198,578,Average,4,5/14/2008,Su,Strongly-preferred,0
6266295,1200,578,Average,3.5,5/13/2008,Au,Strongly-preferred,0
6309430,1203,578,Average,3.5,5/14/2008,Au,Strongly-preferred,0
6334797,1206,578,Average,4,5/12/2008,Su,Strongly-preferred,0
6359448,1207,578,Average,4,5/13/2008,Su,Strongly-preferred,0
6485234,1214,578,Average,3,5/13/2008,Au,Strongly-preferred,0
6516110,1215,578,Average,5,5/12/2008,Su,Strongly-preferred,0
6537985,1219,578,Average,3,5/13/2008,Au,Strongly-preferred,0
6557640,1220,578,Average,3.5,5/29/2008,Au,Strongly-preferred,0
6639222,1225,578,Average,3,5/12/2008,Au,Strongly-preferred,0
6745874,1240,578,Average,4.5,5/13/2008,Su,Strongly-preferred,0
6812400,1246,578,Average,0.5,5/13/2008,Wu,Strongly-preferred,0
